Country Name,Country Code,Year,Diabetes prevalence (% of population ages 20 to 79),Domestic general government health expenditure (% of GDP),"Life expectancy at birth, total (years)",Maternal leave benefits (% of wages paid in covered period),"Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)",Prevalence of hypertension (% of adults ages 30-79),Treatment for hypertension (% of adults ages 30-79 with hypertension),"Unemployment, total (% of total labor force)",GDP
Togo,TGO,2011,3.3,1.03214419,57.612,100.0,296.872,316.733,37.3,14.3,1.982,5422442166.0
Tunisia,TUN,2011,9.5,3.45419288,74.471,67.0,68.444,127.855,34.7,33.4,18.334,48123325825.0
Turkiye,TUR,2011,7.9,3.68182659,74.823,67.0,63.944,145.759,34.7,56.7,9.789,838785000000.0
Uganda,UGA,2011,2.8,0.90863341,60.791,100.0,306.092,365.371,34.8,13.9,3.528,27871725241.0
Ukraine,UKR,2011,2.9,3.42423868,70.711,100.0,113.957,300.253,47.6,46.4,7.851,169334000000.0
United Arab Emirates,ARE,2011,18.8,2.58301282,81.898,100.0,24.575,45.587,39.4,33.4,2.596,360833000000.0
United Kingdom,GBR,2011,5.2,8.02214241,80.95121951,28.0,55.723,87.266,29.0,46.7,8.169,2663810000000.0
Uruguay,URY,2011,5.7,4.86718798,76.614,100.0,81.567,155.529,42.2,50.9,6.307,50342406067.0
Uzbekistan,UZB,2011,6.4,2.08887649,70.143,100.0,130.862,215.856,40.1,44.6,4.96,60178909297.0
Viet Nam,VNM,2011,3.2,1.93289721,73.713,100.0,79.055,192.499,28.7,23.6,0.999,172595000000.0
West Bank and Gaza,PSE,2011,9.2,3.28588367,73.557,100.0,94.329,135.252,40.1,42.7,17.597,11186100000.0
"Yemen, Rep.",YEM,2011,9.6,1.09211838,67.412,100.0,148.58,207.425,29.0,33.1,13.311,32726417878.0
Zambia,ZMB,2011,4.8,1.5735333,57.843,100.0,340.42,397.15,36.6,17.3,10.545,23459515276.0
Zimbabwe,ZWE,2011,9.8,2.11995435,53.911,100.0,460.939,509.089,43.4,29.2,5.368,14101801031.0
