year,college_graduate,college_level,elementary_graduate,elementary_level,high_school_graduate,high_school_level,no_formal_education,non-formal_education,not_reported_/_no_response,not_of_schooling_age,post_graduate,post_graduate_level,vocational_graduate,vocational_level,14 - Below,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - Above,administrative_workers,clerical_workers,"equipment_operators,_&_laborers",housewives,members_of_the_armed_forces,minors_(below_7_years_old),no_occupation_reported,out_of_school_youth,"prof'l,_tech'l,_&_related_workers",refugees,retirees,sales_workers,service_workers,students,workers_&_fishermen,albania,andorra,angola,anguilla,antigua_and_barbuda,argentina,armenia,aruba,australia,austria,bahamas,bahrain,bangladesh,barbados,belgium,bermuda,bolivia,bosnia_and_herzegovina,brazil,british_virgin_islands,brunei_darussalam,bulgaria,cameroon,canada,cayman_islands,channel_island,chile,china_(p.r.o.c.),cocos_(keeling)_island,colombia,costa_rica,croatia,cyprus,czech_republic,democratic_kampuchea,democratic_republic_of_the_congo_(zaire),denmark,dominican_republic,ecuador,egypt,estonia,ethiopia,falkland_islands_(malvinas),faroe_islands,fiji,finland,france,french_polynesia,gabon,georgia,germany,ghana,gibraltar,greece,greenland,hongkong,hungary,iceland,india,indonesia,iran,iraq,ireland,isle_of_man,israel,italy,japan,jordan,kazakhstan,kenya,kiribati,kuwait,latvia,lebanon,leichtenstein,lesotho,liberia,libya,lithuania,luxembourg,macau,macedonia,malaysia,maldives,malta,marshall_islands,mauritius,mexico,midway_island,moldova,monaco,morocco,mozambique,myanmar_(burma),namibia,nepal,netherlands,netherlands_antilles,new_caledonia,new_zealand,nigeria,norway,oman,pacific_islands,pakistan,palau,panama,papua_new_guinea,peru,poland,portugal,puerto_rico,qatar,reunion,romania,russian_federation_/_ussr,saint_lucia,san_marino,saudi_arabia,senegal,seychelles,singapore,sint_maarten,slovak_republic,slovenia,solomon_islands,south_africa,south_korea,spain,sri_lanka,sudan,sweden,switzerland,syria,taiwan_(roc),thailand,trinidad_and_tobago,tunisia,turkey,turks_and_caicos_islands,uganda,ukraine,united_arab_emirates,united_kingdom,united_republic_of_tanzania,united_states_of_america,uruguay,uzbekistan,vanuatu,venezuela,vietnam,wake_island,yemen,yugoslavia_(serbia_&_montenegro),zambia,male,female,single,married,widower,separated,divorced,not_reported
2011,24193,13809,2152,10359,8401,9260,64,13,113,6658,1484,1010,4531,1363,19891,8346,8365,8629,8952,7352,5657,4015,3136,2785,2711,1843,1713,2176,2207,2936,13918,327,6770,15589,573,8181,0,3020,2880,1899,21796,1138,0,0,0,0,0,0,0,0,3957,118,0,0,0,0,131,0,0,0,0,0,0,0,0,26203,0,0,0,1,0,0,3,1,0,1,0,0,41,0,0,0,0,0,0,0,0,87,159,1,0,0,590,0,0,1,4,0,2,25,10,0,0,0,68,0,0,3632,3965,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,268,0,0,1185,1,462,0,0,0,0,0,1,0,1,12,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,2,1618,871,0,0,401,167,1,193,0,0,0,3,0,0,0,0,749,0,38463,0,0,0,0,0,0,0,0,0,34563,48847,44825,35214,2439,338,579,15
2012,24183,14169,2424,10089,8707,9303,61,4,97,6174,1644,1063,4308,1414,18887,8493,8898,8847,8867,7095,5274,3749,2961,2976,3160,2263,2170,1954,1947,2562,13647,175,6172,17695,381,7841,0,3854,2786,2161,21507,958,0,0,0,0,0,0,0,0,4259,103,0,0,0,0,179,0,0,1,0,0,1,2,0,24354,0,0,0,3,0,0,0,0,0,2,0,0,34,0,0,0,0,0,0,0,0,103,172,0,0,0,553,0,0,6,0,0,0,27,9,0,0,0,115,0,0,3818,4759,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,234,0,1,1170,1,452,0,0,1,0,0,1,0,0,6,0,0,0,7,0,0,0,0,0,0,2,0,1,0,0,3,1632,808,0,1,448,198,0,158,0,2,0,0,0,0,0,0,881,0,39124,0,0,0,0,0,0,0,0,0,34076,49564,43908,35776,2866,401,675,14
2013,22841,13472,2066,9129,8444,8779,69,8,178,5661,1328,943,4062,1248,17170,8309,8029,8060,8546,6677,4990,3342,2979,3159,2804,2184,1978,2195,1915,2162,13086,128,5659,17250,739,6499,0,3435,2129,2333,19792,906,0,1,1,0,0,1,0,0,4748,104,0,0,0,0,171,0,0,0,0,0,0,6,0,19041,1,0,0,4,0,0,0,1,2,2,0,0,45,0,0,0,0,0,0,0,0,66,161,0,0,0,609,0,0,4,0,0,2,34,22,0,0,0,139,3,0,4526,4554,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,1,0,7,0,0,2,0,0,0,0,0,0,0,0,263,0,0,888,0,370,0,0,0,0,0,1,0,1,18,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,2,1419,868,1,0,315,199,0,143,0,0,0,3,0,0,0,0,829,0,38637,0,0,0,0,0,0,0,0,0,31288,46940,41388,33164,2639,368,623,46
2014,24266,13913,1980,9225,8422,8665,95,0,147,5842,1330,931,4468,1405,18014,8401,8396,8790,9284,7323,5159,3534,3081,2870,2496,1786,1555,1905,1954,2290,13423,149,5849,18499,435,6507,0,3105,2495,2522,20698,858,3,1,0,0,0,0,0,0,4467,88,0,0,0,0,186,0,0,0,2,0,0,3,0,22479,0,0,2,10,0,0,0,0,0,0,0,0,55,0,0,1,0,0,1,1,0,112,211,0,0,0,578,0,0,3,0,0,3,9,13,0,0,0,130,0,0,3275,4341,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,11,0,0,3,0,0,0,0,0,0,0,0,316,0,1,974,0,507,0,0,1,0,0,0,0,1,4,0,0,0,5,0,0,0,0,0,0,0,0,2,7,0,4,982,834,0,0,333,160,0,182,0,0,0,4,1,0,0,1,783,0,39594,0,0,0,0,0,0,0,0,0,32368,48321,45280,32062,2307,345,657,38
2015,27520,16699,2399,11272,9473,10722,37,6,165,6162,1472,954,4530,1587,21581,11102,8902,9178,10238,8700,5901,4248,3291,3182,2710,2061,1902,1789,1925,2708,13723,285,6159,21592,473,7504,0,3576,2807,2639,26667,1151,0,0,0,0,0,0,0,0,4860,81,0,0,0,0,143,0,0,0,1,0,0,1,0,33700,1,0,1,5,0,0,0,0,1,1,0,0,46,0,0,0,0,0,0,0,0,67,159,0,0,0,651,0,0,4,0,0,2,18,25,0,0,0,161,1,0,2452,4387,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,1,0,10,0,0,5,0,0,0,0,0,0,0,0,319,0,0,1197,0,426,0,0,2,0,0,0,0,6,18,0,0,0,9,0,0,0,0,0,0,0,0,4,1,0,1,700,1005,0,0,287,194,0,277,0,0,0,13,0,0,0,0,936,0,40814,0,0,0,0,0,0,0,0,0,40079,52919,52957,36238,2671,350,754,28
2016,27162,15911,2131,10943,8912,10705,26,0,97,5999,1358,689,4154,1267,20430,10500,8127,9134,10579,8821,5795,4204,3215,2717,2345,1809,1677,1554,1878,2494,13357,214,5788,21374,1466,6781,0,2895,3018,2754,24749,1032,0,1,0,0,0,3,0,0,4819,64,0,0,0,0,184,0,0,0,2,0,0,2,0,29039,1,0,3,9,0,0,0,0,0,1,0,0,52,0,1,1,2,0,0,0,0,66,206,0,0,0,613,0,0,2,2,0,0,21,15,0,0,0,128,0,0,2451,4313,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,22,0,0,5,0,0,0,0,0,0,2,0,336,0,0,1512,2,546,0,0,0,0,0,0,0,5,11,0,0,0,9,1,0,0,0,0,0,0,0,1,1,0,4,694,966,0,0,331,189,0,237,0,0,0,48,0,0,1,1,1129,0,41298,0,0,0,0,0,0,0,0,0,37036,52318,50236,35592,2436,305,703,82
2017,24063,12994,1861,9876,7893,11060,116,26,143,5239,1116,587,3614,1191,18741,9319,7216,7957,9690,8179,5364,3597,2739,2399,1871,1393,1309,1258,1453,2342,11400,190,4555,20001,564,5074,0,2322,2287,3501,23912,920,0,0,0,0,0,0,0,0,3993,84,0,2,0,0,170,0,0,0,1,0,0,6,0,27376,0,0,4,5,0,0,0,1,2,0,0,0,36,0,0,1,0,0,0,0,0,46,154,0,0,0,616,0,0,2,0,0,4,16,31,0,0,0,102,0,0,2241,4129,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,0,8,0,0,6,0,0,0,0,0,0,0,0,377,0,0,1236,0,497,1,0,1,0,0,0,0,9,3,0,0,0,11,0,0,0,0,0,0,0,0,1,5,0,3,616,920,1,0,452,137,0,444,0,0,0,50,0,0,1,1,1015,0,34956,0,0,0,0,0,0,0,0,0,33741,46038,46211,30646,1813,329,658,122
2018,23203,11089,1739,8235,8079,10222,125,113,195,4690,1097,586,3271,1075,15820,8233,6673,7809,9276,7223,4827,3346,2639,2530,2172,1585,1516,1211,1370,1819,11310,220,4258,19096,443,5029,0,2536,2383,2892,20363,789,1,2,0,1,0,2,0,0,2937,100,0,0,0,0,135,1,0,0,0,0,0,15,0,23014,0,0,7,6,0,0,0,3,0,2,0,1,70,0,0,0,0,0,0,2,0,45,181,0,0,0,687,0,0,4,1,0,1,25,23,0,0,0,145,0,0,1459,3962,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,4,0,1,3,0,0,0,0,0,0,0,0,418,1,0,617,0,499,0,0,0,0,0,0,0,15,6,0,0,0,16,0,0,0,0,0,0,0,0,2,0,0,0,687,694,0,0,337,156,0,467,0,0,0,94,0,0,1,0,1025,0,35839,0,0,0,0,0,0,0,0,0,30390,43329,40668,30069,1998,277,614,93
2019,21875,9300,1464,6821,7620,8257,110,70,151,4120,1015,521,2826,1014,13323,6454,5791,7592,9108,6790,4428,2949,2278,2071,1757,1384,1233,1249,1385,1597,9326,259,3687,16921,515,5209,0,2736,2366,2921,16403,590,0,0,0,0,0,0,0,0,2468,87,1,0,2,0,179,0,1,2,1,0,0,17,0,18190,0,0,21,10,0,1,0,2,0,8,0,1,61,0,0,1,2,0,0,0,0,81,251,0,0,0,730,0,0,3,0,0,11,11,26,0,0,0,99,0,0,774,3862,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,5,0,0,3,0,0,0,0,0,0,0,0,402,0,1,1178,0,421,0,0,0,0,0,0,0,10,3,0,0,0,12,0,0,0,0,0,0,0,0,6,10,0,2,653,546,0,0,247,153,0,465,0,0,0,89,0,0,0,1,1345,0,32698,1,0,0,0,0,0,0,5,0,25165,39999,36804,25563,1799,261,680,57
2020,5311,2383,256,1589,1900,1949,17,57,25,950,258,110,664,234,3109,1512,1394,2180,2360,1741,1110,602,446,425,337,261,217,282,356,405,2918,54,848,3618,126,1240,0,592,498,664,3966,136,0,0,0,0,0,0,0,0,777,30,0,0,0,0,58,0,0,0,0,0,0,2,0,4579,0,0,2,0,0,0,0,1,0,1,0,0,16,0,0,0,1,0,0,0,0,31,71,0,0,0,304,0,0,0,0,0,6,3,6,0,0,0,16,0,0,232,1100,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,208,0,0,477,0,88,0,0,0,0,0,0,0,3,4,0,0,0,2,0,0,2,0,0,0,0,0,1,6,0,0,219,162,0,0,80,68,0,133,0,0,0,25,0,0,1,1,442,0,6539,0,0,0,0,0,0,0,1,0,5928,9775,8513,6607,349,70,118,46
2021,5534,2299,361,1639,2069,2186,12,39,91,1236,249,107,575,108,3675,2028,1754,2006,2534,1805,996,586,355,291,217,139,116,261,251,246,2298,31,1219,4361,79,1588,0,279,488,335,4959,110,0,0,0,0,0,0,1,0,901,45,0,0,0,0,61,0,0,0,1,0,0,0,0,4470,0,0,0,0,0,0,0,0,0,2,0,0,12,0,0,1,0,0,0,0,0,21,77,0,0,0,312,0,0,1,0,0,5,3,5,0,1,0,39,0,0,255,1588,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,182,0,0,191,0,88,0,0,1,0,0,0,0,12,1,0,0,1,6,0,0,0,0,0,0,0,0,2,5,0,1,192,143,0,0,139,76,0,44,0,0,0,14,0,0,0,2,473,0,7122,0,0,0,0,0,0,0,3,0,6357,10148,9312,6991,151,28,19,4
2022,14906,5850,635,3583,5067,4436,43,756,142,2522,689,341,1416,398,7661,3456,3486,4835,6612,5357,3189,1837,1279,1006,786,563,489,859,779,1506,5369,127,2420,9911,163,5817,0,1168,1404,1105,9772,384,1,0,0,0,0,2,5,0,2164,82,4,5,6,1,95,0,0,2,10,0,1,20,1,7195,0,0,1,112,0,3,20,20,4,22,8,0,82,0,2,17,4,0,0,0,1,62,165,0,0,3,525,0,0,6,0,5,16,26,128,28,1,0,63,1,23,386,2071,3,0,2,0,1,4,2,0,0,0,0,3,1,0,7,64,28,10,0,2,3,0,1,0,4,1,0,1,5,331,0,0,5579,5,255,3,0,9,0,0,0,3,45,9,0,1,0,39,15,1,0,8,1,1,69,1,7,9,0,13,343,269,7,0,215,133,0,210,207,0,0,40,0,1,2,81,734,1,18560,2,1,0,0,24,0,0,8,1,15045,25739,22982,15848,769,233,271,681
